Cleaned_Resources_Table
Name,Description,Eco_Friendly,Category,Address,Website,Hours of Operation,Image
Westborn Market,Westborn Market is a highly-rated grocery store in Dearborn that emphasizes sustainability and local produce,yes,Grocery Store,"21755 Michigan Ave, Dearborn, MI 48124",https://westbornmarket.com/,"Monday-Saturday: 8 AM - 9 PM
Sunday: 8 AM - 7 PM",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwestbornmarket.com%2Flocations&psig=AOvVaw2y5rUgHE9leIChu-1KaK14&ust=1733413573706000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCLD1-fa6jooDFQAAAAAdAAAAABAE
"Better Health Market, Dearborn","Better Health Store of Dearborn offers a wide variety of herbal, organic, and holistic health products, emphasizing healthy living and sustainability efforts in the community.",yes,Grocery Store,"22250 Michigan Ave, Dearborn, MI 48124",https://betterhealthmarket.com/,"Monday-Saturday: 9 AM - 8 PM
Sunday: 11 AM - 6 PM",https://betterhealthmarket.com/pub/media/stores/dearborn_2.jpg
Dearborn Farmers Market (SEASONAL),"The Dearborn Farmers Market focuses on sustainability by offering fresh, locally-produced food options, promoting community health and supporting local farmers. It is a vibrant place where customers can find fresh fruits, vegetables, artisanal goods, and engage with the community, reinforcing sustainable agricultural practices",yes,Grocery Store,"1034 Monroe St, Dearborn, MI 48124",https://themarketondearborn.com/,"Updates Yearly (sidenote: this could be something the admin updates (us lol))
2024-2025:
June-September: Saturdays ONLY 8am-1pm
October-May: Thursdays 9am-1pm
October-May: Fridays 3pm-7pm","https://img1.wsimg.com/isteam/ip/dfb7290b-5485-4cb5-aaf6-5eef0828d80e/13F73164-BD99-4385-AC86-2FACE1717405.jpg/:/rs=w:1160,h:1159"
Papaya Fruit Market,"Papaya Fruit Market promotes sustainability through its focus on fresh, local produce and supports eco-friendly farming practices, benefiting both the community and the environment.",,Grocery Store,"14615 W. Warren, Dearborn, MI 48126",https://papayaexpress.com/,Monday-Sunday: 8 AM - 10 PM,https://lh3.googleusercontent.com/p/AF1QipP20hghcyxOOcLG1MnTKYSaY9az3pF2pFVQtpnH=s680-w680-h510
ALDI,"Offers organic produce, meats, and sustainable seafood, with a focus on eco-friendly practices. ALDI is committed to reducing greenhouse gas emissions, using 100% green electricity, and increasing packaging recyclability. Eliminated all plastic shopping bags by 2023 to minimize waste.",,Grocery Store,"24130 Van Born Rd, Dearborn Heights, MI 48125",https://www.aldi.us/,Monday-Sunday: 9 AM - 8 PM,https://lh3.googleusercontent.com/p/AF1QipO4J6baGr9cEfFtxiPcQCqCxOfRYA4szr377TsZ=s680-w680-h510
Detroit People’s Food Co-Op (DPFC),"A community-owned grocery cooperative offering locally sourced food, promoting food education, and fostering sustainable practices.",yes,Grocery Store,"8324 Woodward Ave, Detroit, MI 48202",https://detroitpeoplesfoodcoop.com/,Monday-Sunday: 8 AM - 10 PM,https://detroit.urbanize.city/sites/default/files/styles/struct_data_16x9/public/background/2024-04/DPFC-%20finished%20building%20photo%20of%20the%20Detroit%20Food%20Commons.jpeg?itok=IVN9whxS
Eastern Market,"One of the nation's oldest and largest public markets, offering fresh produce, meats, and other goods. Supports local farmers, urban agriculture, and sustainable freight initiatives to reduce carbon emissions.",yes,Grocery Store,"2934 Russell St, Detroit, MI 48207",https://easternmarket.org/,"Saturday: Year-round from 6 AM - 4 PM
Sunday: June-October: 10 AM-4 PM.
Tuesday: June-October: 9 AM to 3 PM",https://tse1.mm.bing.net/th?id=OIP.zKrqbe6Wh8vNiaToZFeR7QHaHa&pid=Api
Nature's Compliments,"A holistic shop offering zero-waste skincare with herbal & oil infusions, and USDA organic products that are made-to-order. Based in Detroit but newly opened in February 2024",yes,Clothes Market,"24336 Michigan Ave, Dearborn, MI, 48124",https://www.instagram.com/natures.compliments/,"Monday-Friday: 12 PM - 7 PM
Saturday: 10 AM - 5 PM",
STEP Thrift Store & Donation Center,Thrift store that contributes to reducing waste and promoting reuse.,yes,Clothes Market,"23830 Ford Rd Dearborn Heights, MI 48127",https://stepcentral.org/step-thrift-stores-donation-centers/,"Monday-Saturday: 10 am-7 pm
Sunday: 12 pm-5 pm",
Goodwill Dearborn Store,"Sells secondhand goods and undertakes various eco-friendly practices such as encouraging the recycling of used items through donation. It focuses on minimizing waste and promotes sustainable fashion, aligning with the circular economy",yes,Clothes Market,"22451 Michigan Avenue, Dearborn, MI 48124",https://www.goodwill.org/,"Monday-Saturday: 10 AM - 8 PM
Sunday: 12 PM - 6 PM",
Motown Thrift Store,"Helping Hand Thrift Shop is a family-owned business known for its warm, welcoming atmosphere. By embracing the ethos of reduce, reuse, and recycle, these shops play an important role in promoting environmental stewardship while providing an array of affordable goods. The shop offers a collection of fine and custom jewelry, hats, vintage clothing, and mid-century furniture",yes,Clothes Market,"8050 N Middlebelt Rd., Westland, MI 48185",https://motownthriftstores.com/,"Monday-Saturday: 9 AM - 8 PM
Sunday: 10 AM - 8 PM",
Plato's Closet,"Plato’s Closet buys and sells gently used clothes, shoes and accessories, so you can recycle the items you no longer wear and get paid on the spot. We buy styles for all seasons, all day, every day, with no appointment necessary. Each Plato’s Closet location is individually owned and operated by local business owners, so you can feel good about shopping small.",yes,Clothes Market,"6530 Allen Rd, Allen Park, MI 48101",https://platoscloset.com/,"Monday - Saturday: 10 AM - 9 PM
Sunday: 11 AM - 6 PM",https://lh3.googleusercontent.com/p/AF1QipP1M4yurc8YSd0vxMndLUjoSvvtqU__KEwlXyqQ=s1360-w1360-h1020
Value World,"A large thrift store offering a wide variety of used clothing, accessories, and household goods, encouraging eco-friendly shopping practices and waste reduction",yes,Clothes Market,"20540 Lahser Rd, Detroit, MI 48219",https://valueworld.com/,Monday-Sunday: 10 AM - 8 PM,
Perpetua,"A boutique specializing in sustainable, organic, and environmentally-friendly clothing for women and men, promoting eco-conscious fashion choices.",yes,Clothes Market,"209 S 4th Ave, Ann Arbor, MI 48104",https://www.instagram.com/perpetuaboutique/?hl=en,,
Peace Park,"The first of three state-of-the-art community parks in Dearborn, featuring outdoor seating, shaded walkways, wifi, and advanced water management systems. Part of a $29.2 million grant-funded investment to enhance green spaces and promote sustainability.",yes,Bike/Walk Trail,"22271 West Village Dr, Dearborn, MI 48124",https://www.dearborn.gov/peaceparks#,,https://lh3.googleusercontent.com/p/AF1QipPgPWVIR51vQp2RMbFQ0ntuglxpGy0EO0tEbjLt=s1360-w1360-h1020
Rouge River Gateway Trail,"This scenic 2-mile-long bike path crosses two bridges over the Rouge River, through densely forested woodland and the campus of the University of Michigan-Dearborn, leading to nearby attractions such as Greenfield Village and the Henry Ford Museum.",yes,Bike/Walk Trail,"Dearborn, MI 48124",https://www.michigan.org/property/rouge-river-gateway-trail,,https://lh3.googleusercontent.com/p/AF1QipP-aR2EsQ_cjwP3TsIbkHAKjr_u8JtOaMFz-Lq4=s680-w680-h510
Hines Park Trail,"The Hines Park Trail includes a 20-mile connection from Michigan Ave. (Dearborn) to Northville, featuring paved paths, parks, dog areas, and picnic facilities. The trail runs parallel to Edward Hines Drive and passes through scenic areas",yes,Bike/Walk Trail,"From Dearborn to Northville, along Edward Hines Drive",https://www.traillink.com/trail/hines-park-trailrouge-river-gateway/,,https://trailsmichigan.com/images/slideshow_images/81/Hine-Park-Trail-7.jpg
Ford Field Park,"Ford Field Park offers scenic views of the Rouge River, access to the start of the Rouge River Gateway Trail, large picnic shelters, tennis courts, ball fields, sledding and more.",yes,Bike/Walk Trail,"500 Monroe St., Dearborn, MI 48124",https://www.michigan.org/property/ford-field-park,,https://d2kihw5e8drjh5.cloudfront.net/eyJidWNrZXQiOiJ1dGEtaW1hZ2VzIiwia2V5IjoicGxhY2VfaW1nLzRiZTFiOTcxZTRlNzQ5YmRiNmQ0MWVjMjcyYWVjZDU3IiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo2NDAsImhlaWdodCI6NjQwLCJmaXQiOiJpbnNpZGUifSwicm90YXRlIjpudWxsLCJ0b0Zvcm1hdCI6ICJ3ZWJwIn19
Crowley Park,"Crowley Park is a vibrant community park, the park features basketball courts, soccer fields, a splash pad, and picnic areas, offering a variety of outdoor activities for visitors of all ages",yes,Bike/Walk Trail,"2600 Westwood St, Dearborn, MI 48124",https://dearborn.gov/explore/parks-recreation/parks/community-parks#,,
