id,name,description,eco_friendly,category,address,website,hours_of_operation,image_url
2,Better Health Market,"Better Health Store of Dearborn offers a wide variety of herbal, organic, and holistic health products, emphasizing healthy living and sustainability efforts in the community.",TRUE,Grocery Store,"22250 Michigan Ave, Dearborn, MI 48124",https://betterhealthmarket.com/,"Monday-Saturday: 9 AM - 8 PM; Sunday: 11 AM - 6 PM",https://betterhealthmarket.com/pub/media/stores/dearborn_2.jpg
3,Dearborn Farmers Market,"The Dearborn Farmers Market focuses on sustainability by offering fresh, locally-produced food options, promoting community health and supporting local farmers.",TRUE,Grocery Store,"1034 Monroe St, Dearborn, MI 48124",https://themarketondearborn.com/,"June-September: Saturdays 8 AM - 1 PM; October-May: Thursdays 9 AM - 1 PM, Fridays 3 PM - 7 PM",https://img1.wsimg.com/isteam/ip/dfb7290b.jpg
4,Papaya Fruit Market,"Papaya Fruit Market promotes sustainability through its focus on fresh, local produce and supports eco-friendly farming practices.",TRUE,Grocery Store,"14615 W. Warren, Dearborn, MI 48126",https://papayaexpress.com/,"Monday-Sunday: 8 AM - 10 PM",https://lh3.googleusercontent.com/p/PapayaFruitMarket.jpg
5,ALDI,"Offers organic produce, meats, and sustainable seafood, with a focus on eco-friendly practices. ALDI is committed to reducing greenhouse gas emissions and increasing packaging recyclability.",TRUE,Grocery Store,"24130 Van Born Rd, Dearborn Heights, MI 48125",https://www.aldi.us/,"Monday-Sunday: 9 AM - 8 PM",https://aldi.com/image.jpg
6,Detroit People’s Food Co-Op,"A community-owned grocery cooperative offering locally sourced food, promoting food education, and fostering sustainable practices.",TRUE,Grocery Store,"8324 Woodward Ave, Detroit, MI 48202",https://detroitpeoplesfoodcoop.com/,"Monday-Sunday: 8 AM - 10 PM",https://detroitpeoplesfoodcoop.com/image.jpeg
7,Eastern Market,"One of the nation's oldest and largest public markets, offering fresh produce, meats, and other goods. Supports local farmers and sustainable freight initiatives.",TRUE,Grocery Store,"2934 Russell St, Detroit, MI 48207",https://easternmarket.org/,"Saturday: 6 AM - 4 PM; Sunday: June-October: 10 AM - 4 PM; Tuesday: June-October: 9 AM - 3 PM",https://easternmarket.org/image.jpg
8,Nature's Compliments,"A holistic shop offering zero-waste skincare with herbal and oil infusions. Based in Detroit but newly opened in February 2024.",TRUE,Clothes Market,"24336 Michigan Ave, Dearborn, MI 48124",https://www.instagram.com/natures.compliments/,"Monday-Friday: 12 PM - 7 PM; Saturday: 10 AM - 5 PM",https://instagram.com/natures_compliments.jpg
9,STEP Thrift Store & Donation Center,"Thrift store that contributes to reducing waste and promoting reuse.",TRUE,Clothes Market,"23830 Ford Rd, Dearborn Heights, MI 48127",https://stepcentral.org/step-thrift-stores-donation-centers/,"Monday-Saturday: 10 AM - 7 PM; Sunday: 12 PM - 5 PM",https://stepcentral.org/image.jpg
10,Goodwill Dearborn Store,"Sells secondhand goods and promotes sustainable practices such as recycling used items through donation.",TRUE,Clothes Market,"22451 Michigan Avenue, Dearborn, MI 48124",https://www.goodwill.org/,"Monday-Saturday: 10 AM - 8 PM; Sunday: 12 PM - 6 PM",https://goodwill.org/image.jpg
11,Motown Thrift Store,"Family-owned thrift shop focusing on reducing waste and offering affordable goods.",TRUE,Clothes Market,"8050 N Middlebelt Rd, Westland, MI 48185",https://motownthriftstores.com/,"Monday-Saturday: 9 AM - 8 PM; Sunday: 10 AM - 8 PM",https://motownthriftstores.com/image.jpg
12,Plato's Closet,"Plato’s Closet buys and sells gently used clothes, shoes, and accessories, promoting recycling.",TRUE,Clothes Market,"6530 Allen Rd, Allen Park, MI 48101",https://platoscloset.com/,"Monday-Saturday: 10 AM - 9 PM; Sunday: 11 AM - 6 PM",https://platoscloset.com/image.jpg
13,Value World,"A thrift store offering a variety of used clothing, accessories, and household goods.",TRUE,Clothes Market,"20540 Lahser Rd, Detroit, MI 48219",https://valueworld.com/,"Monday-Sunday: 10 AM - 8 PM",https://valueworld.com/image.jpg
14,Eugenie Detroit,"A boutique specializing in sustainable, organic, and environmentally-friendly clothing.",TRUE,Clothes Market,"1400 Van Dyke St, Detroit, MI 48214",https://www.eugeniedetroit.com/,"Tuesday-Friday: 11 AM - 6 PM; Saturday-Sunday: 10 AM - 6 PM",https://eugeniedetroit.com/image.jpg
15,Peace Park,"The first of three state-of-the-art community parks in Dearborn with advanced water management systems.",TRUE,Bike/Walk Trail,"22271 West Village Dr, Dearborn, MI 48124",https://www.dearborn.gov/peaceparks,"n/a",https://dearborn.gov/peaceparks/image.jpg
16,Rouge River Gateway Trail,"Scenic 2-mile bike path through densely forested woodland and nearby attractions.",TRUE,Bike/Walk Trail,"Dearborn, MI 48124",https://www.alltrails.com/trail/us/michigan/rouge-river-gateway-trail,"n/a",https://alltrails.com/image.jpg
17,Hines Park Trail,"20-mile trail connecting Michigan Ave. to Northville, offering parks and scenic areas.",TRUE,Bike/Walk Trail,"From Dearborn to Northville",https://www.alltrails.com/trail/us/michigan/hines-park-trail,"n/a",https://trailsmichigan.com/image.jpg
18,Ford Field Park,"Ford Field Park offers scenic views and access to the Rouge River Gateway Trail.",TRUE,Bike/Walk Trail,"500 Monroe St, Dearborn, MI 48124",https://www.michigan.org/property/ford-field-park,"n/a",https://michigan.org/image.jpg
19,Crowley Park,"Community park with basketball courts, soccer fields, and picnic areas.",TRUE,Bike/Walk Trail,"2600 Westwood St, Dearborn, MI 48124",https://dearborn.gov/explore/parks-recreation/parks/community-parks,"n/a",https://dearborn.gov/image.jpg
20,Ford Woods Park,"Park with outdoor play equipment, ball fields, and walking tracks.",TRUE,Bike/Walk Trail,"15200 Ford Rd, Dearborn, MI"
21,Hemlock Raymond Park,"Hemlock Raymond Park features a splash pad, sledding hill, basketball and soccer fields, and handicap-accessible amenities, offering something for all age groups.",TRUE,Bike/Walk Trail,"13335 Hemlock, Dearborn, MI"
22,Lapeer Park,"Lapeer Park is equipped with handicap-accessible features, an outdoor pool, sand volleyball courts, and various sports fields, catering to recreational and competitive needs.",TRUE,Bike/Walk Trail,"9920 Lapeer, Dearborn, MI"
23,Levagood Park,"Levagood Park boasts unique features like a natural ice rink, sand volleyball courts, and various other recreational amenities, making it ideal for year-round activities.",TRUE,Bike/Walk Trail,"950 N. Silvery Lane, Dearborn, MI"
24,The Civic Center Park & Fields,"The Civic Center Park & Fields combines fitness and leisure with handicap-accessible facilities, pickleball courts, and fitness stations for a well-rounded outdoor experience.",TRUE,Bike/Walk Trail,"15801 Michigan Ave., Dearborn, MI"
25,SMART Bus,"The Suburban Mobility Authority for Regional Transportation (SMART) operates regional bus services throughout Southeast Michigan, including Dearborn. SMART offers the FAST (Frequent Affordable Safe Transit) bus lines along Michigan Avenue with six stops in Dearborn.",TRUE,Public Transportation,"Various stops in Dearborn",https://www.smartbus.org/,"Buses run every 30 minutes from 5 AM to midnight"
26,UM-Dearborn Shuttle,"The University of Michigan-Dearborn provides a free shuttle service for students, staff, and faculty. The shuttle connects campus with nearby residential areas and shopping locations.",TRUE,Public Transportation,"University of Michigan-Dearborn",https://umdearborn.edu/about-um-dearborn/visit-campus/parking-and-transportation/shuttle-service,"on website"
27,Westborn Market,"Westborn Market is a highly-rated grocery store in Dearborn that emphasizes sustainability and local produce",TRUE,Grocery Store,"21755 Michigan Ave, Dearborn, MI 48124",https://westbornmarket.com/,"Monday-Saturday: 8 AM - 9 PM; Sunday: 8 AM - 7 PM",https://westbornmarket.com/locations.jpg
